Help,Deprivation Decile (WIMD 2014),Sex,Age,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal
4Male,4,Male,FifteenToNineteen,15,19,0,0,22,26,37,56,100,0
4Male,4,Male,TwentyToTwentyfour,35,38,0,0,40,53,65,73,100,0
4Male,4,Male,TwentyfiveToTwentyNine,16,22,0,0,0,33,50,57,100,0
4Male,4,Male,ThirtyToThirtyfour,34,43,44,0,47,53,62,68,100,0
4Male,4,Male,ThirtyfiveToThirtynine,29,36,37,41,45,54,61,68,100,0
4Male,4,Male,FourtyToFourtyfour,37,42,43,49,56,61,65,70,100,0
4Male,4,Male,FourtyfiveToFourtynine,43,48,49,58,62,68,71,75,100,0
4Male,4,Male,FiftyToFiftyfour,49,57,57,64,67,73,76,78,100,0
4Male,4,Male,FiftyfiveToFiftyNine,48,56,57,65,70,74,76,77,100,0
4Male,4,Male,SixtyToSixtyfour,47,60,61,69,73,80,81,82,100,0
4Male,4,Male,SixtyfiveToSixtynine,47,60,61,71,75,82,82,83,100,0
4Male,4,Male,SeventyToSeventyfour,41,55,56,66,72,80,80,81,100,0
4Male,4,Male,SeventyfiveToSeventynine,32,49,51,61,68,74,75,76,100,0
4Male,4,Male,EightyToEightyfour,25,42,43,53,60,69,69,71,100,0
4Male,4,Male,EightyfiveToEightynine,16,32,33,45,53,63,63,65,100,0
4Male,4,Male,Ninety,10,26,27,36,45,56,56,59,100,0
4Female,4,Female,lessThan1,1,0,0,0,0,1,0,3,23,100
4Female,4,Female,OneToFour,19,24,0,0,29,33,0,48,100,0
4Female,4,Female,FiveToNine,30,0,0,0,0,40,50,0,100,0
4Female,4,Female,TenToFourteen,14,21,0,0,0,36,0,50,100,0
4Female,4,Female,FifteenToNineteen,12,0,0,0,0,15,40,65,100,0
4Female,4,Female,TwentyToTwentyfour,9,10,0,0,11,13,41,75,100,0
